Title,Author,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Exclusive Shelf
"River Marked (Mercy Thompson, #6)",Patricia Briggs,4.28,Orbit,326,2011,2/22/17,currently-reading
"The Autumn Republic (Powder Mage, #3)",Brian  McClellan,4.37,Orbit,580,2015,8/3/16,read
"The Crimson Campaign (Powder Mage, #2)",Brian  McClellan,4.36,Orbit,596,2014,8/1/16,read
"Promise of Blood (Powder Mage, #1)",Brian  McClellan,4.15,Orbit,545,2013,11/4/13,read
"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,4.11,Del Rey,304,2011,4/17/14,to-read
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,Bantam,1177,2003,8/9/15,to-read
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.39,Hyperion Books for Children,361,2008,10/4/14,to-read
"Allegiant (Divergent, #3)",Veronica Roth,3.63,Katherine Tegen Books,526,2013,12/20/13,read
"Emperor of Thorns (The Broken Empire, #3)",Mark  Lawrence,4.26,Harper Voyager,592,2013,7/29/13,to-read
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.41,Bantam,784,2002,6/10/15,read
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,Bantam,835,2005,12/30/12,read
"If I Stay (If I Stay, #1)",Gayle Forman,3.95,Speak,261,2010,7/15/14,read
"The Ruby Circle (Bloodlines, #6)",Richelle Mead,4.23,Razorbill,348,2015,2/24/15,read
"Silver Shadows (Bloodlines, #5)",Richelle Mead,4.36,Razorbill,380,2014,1/4/15,read
"The Fiery Heart (Bloodlines, #4)",Richelle Mead,4.37,Penguin Group,420,2013,1/2/15,read
"The Indigo Spell (Bloodlines, #3)",Richelle Mead,4.39,Razorbill / Penguin Group,401,2013,1/2/15,read
"The Golden Lily (Bloodlines, #2)",Richelle Mead,4.35,Penguin Group,418,2012,1/2/15,read
"Bloodlines (Bloodlines, #1)",Richelle Mead,4.21,Penguin Group,421,2011,12/29/14,read
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.4,Razorbill,594,2010,9/21/14,read
"Lock In (Lock In, #1)",John Scalzi,3.88,Tor Books,336,2014,10/1/14,to-read
"City of Stairs (The Divine Cities, #1)",Robert Jackson Bennett,4.11,Broadway Books,452,2014,9/21/14,to-read
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.36,Penguin Razorbill,489,2010,9/13/14,read
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.34,Penguin Razorbill,503,2009,9/5/14,read
"World of Fire (Dev Harmer Mission, #1)",James Lovegrove,3.67,Rebellion,324,2014,7/28/14,read
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.36,Razorbill,443,2008,8/30/14,read
"Feast of Souls (The Magister Trilogy, #1)",C.S. Friedman,3.89,DAW,464,2007,8/30/14,to-read
"Black Sun Rising (The Coldfire Trilogy, #1)",C.S. Friedman,3.93,Daw Books,496,2005,8/30/14,to-read
"Frostbite (Vampire Academy, #2)",Richelle Mead,4.29,Razorbill,327,2008,8/29/14,read
"The Fire Prince (The Cursed Kingdoms, #2)",Emily Gee,3.97,Solaris,559,2014,8/20/14,read
"World of Fire (Dev Harmer Mission, #1)",James Lovegrove,3.67,Solaris,464,2014,8/25/14,read
"Fire Logic (Elemental Logic, #1)",Laurie J. Marks,3.85,Tor Books,359,2004,8/23/14,to-read
The Lost Years of Merlin,T.A. Barron,3.98,Ace,304,2002,8/23/14,to-read
"Key Holder of the Realms (Tales of the Whosawhachits, #1)",Patricia O'Grady,4.34,Authorhouse,260,2010,8/23/14,to-read
"Running with the Demon (Word & Void, #1)",Terry Brooks,3.96,Del Rey Books,420,1997,8/23/14,to-read
"The Merchant of Death (Pendragon, #1)",D.J. MacHale,3.94,Aladdin Paperbacks,375,2002,8/23/14,to-read
"Phoenix Angel (Shardwell, #1)",Amanda Gerry,4.17,"Scribes of Shardwell, LLC",329,2012,8/23/14,to-read
"Gifts (Annals of the Western Shore, #1)",Ursula K. Le Guin,3.69,Harcourt,286,2006,8/23/14,to-read
"Empire in Black and Gold (Shadows of the Apt, #1)",Adrian Tchaikovsky,3.65,TOR,612,2008,8/23/14,to-read
"Falling Kingdoms (Falling Kingdoms, #1)",Morgan Rhodes,3.81,Razorbill,412,2012,8/23/14,to-read
"Tome of the Undergates (Aeons' Gate, #1)",Sam Sykes,3.36,Victor Gollancz Science Fiction,612,2010,8/23/14,to-read
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.13,Razorbill,332,2013,8/13/14,read
"Among Thieves (Tales of the Kin, #1)",Douglas Hulick,3.94,Roc,414,2011,8/22/14,to-read
"The Sentinel Mage (The Cursed Kingdoms, #1)",Emily Gee,3.74,Solaris,509,2011,7/14/14,read
"Blood and Feathers (Blood and Feathers, #1)",Lou Morgan,3.54,Solaris,384,2012,8/19/14,to-read
"Greatshadow (Dragon Apocalypse, #1)",James Maxey,3.84,Solaris,416,2012,8/19/14,to-read
"Besieged (The Outcast Chronicles, #1)",Rowena Cory Daniells,3.83,Solaris,672,2012,8/19/14,to-read
"The King's Bastard (King Rolen's Kin, #1)",Rowena Cory Daniells,3.63,Solaris,640,2010,8/19/14,to-read
"Irons in the Fire (The Chronicles of the Lescari Revolution, #1)",Juliet E. McKenna,3.45,Solaris,512,2009,8/19/14,to-read
"Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",Margaret Weis,3.99,Wizards of the Coast,444,2000,8/15/14,to-read
"The Earthsea Quartet (Earthsea Cycle, #1-4)",Ursula K. Le Guin,4.26,Penguin,691,1993,8/15/14,to-read
"Pawn of Prophecy (The Belgariad, #1)",David Eddings,4.15,Del Rey,304,2004,8/15/14,to-read
"Blue Moon Rising (Forest Kingdom, #1)",Simon R. Green,4.09,Ace Books,476,2005,8/15/14,to-read
"Something from the Nightside (Nightside, #1)",Simon R. Green,3.77,Ace Books,230,2003,8/15/14,to-read
"Daughter of the Empire (The Empire Trilogy, #1)",Raymond E. Feist,4.27,Spectra,421,1988,8/15/14,to-read
"The Darkness That Comes Before (The Prince of Nothing, #1)",R. Scott Bakker,3.79,Harry N. Abrams,608,2005,8/15/14,to-read
Deryni Rising (The Chronicles of the Deryni #1),Katherine Kurtz,3.95,Ballantine Books,271,1976,8/15/14,to-read
"The White Queen (The Plantagenet and Tudor Novels, #2)",Philippa Gregory,3.92,Atria Books,408,2009,8/15/14,to-read
"Acacia: The War with the Mein (Acacia, #1)",David Anthony Durham,3.57,Doubleday,576,2007,8/15/14,to-read
"The Archived (The Archived, #1)",Victoria Schwab,4.01,Hyperion,327,2013,8/13/14,to-read
"The Girl of Fire and Thorns (Fire and Thorns, #1)",Rae Carson,3.8,Greenwillow,423,2011,8/13/14,to-read
"The Crystal Cave (Arthurian Saga, #1)",Mary  Stewart,4.13,Eos,494,2003,8/13/14,to-read
"The Blue Blazes (Mookie Pearl, #1)",Chuck Wendig,3.86,Angry Robot,397,2013,8/7/14,to-read
"Starcrossed (Starcrossed, #1)",Josephine Angelini,4.07,HarperTeen,487,2011,8/7/14,to-read
The House of Mirth,Edith Wharton,3.95,Virago,351,2006,8/7/14,to-read
The Stranger,Albert Camus,3.97,Vintage International,123,1989,8/7/14,to-read
The Brief Wondrous Life of Oscar Wao,Junot Díaz,3.9,Riverhead Books,335,2007,8/7/14,to-read
"Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman,4.25,Vertigo,233,1998,8/7/14,to-read
The Last Lecture,Randy Pausch,4.26,Hachette Books,206,2008,8/7/14,to-read
Outliers: The Story of Success,Malcolm Gladwell,4.14,"Little, Brown and Company",309,2008,8/7/14,to-read
A Short History of Nearly Everything,Bill Bryson,4.2,Broadway Books,544,2004,8/7/14,to-read
"In the Hand of the Goddess (Song of the Lioness, #2)",Tamora Pierce,4.24,Simon Pulse,264,2005,8/7/14,read
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,4.26,Simon Pulse,274,2005,7/16/14,read
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.27,Crown Publishers,374,2011,6/1/14,read
"Who Fears Death (Who Fears Death, #1)",Nnedi Okorafor,3.96,DAW Hardcover,386,2010,7/27/14,to-read
"Throne of the Crescent Moon (The Crescent Moon Kingdoms, #1)",Saladin Ahmed,3.64,DAW,274,2012,7/27/14,to-read
"The Killing Moon (Dreamblood, #1)",N.K. Jemisin,3.9,Hachette Book Group,418,2012,7/27/14,to-read
"The Rook (The Checquy Files, #1)",Daniel O'Malley,4.12,"Little, Brown and Company",496,2012,7/26/14,to-read
"Fool's Errand (Tawny Man, #1)",Robin Hobb,4.31,Voyager,661,2002,7/26/14,to-read
"Ship of Magic (Liveship Traders, #1)",Robin Hobb,4.14,Voyager,880,1999,7/26/14,to-read
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.35,Puffin Books,320,2007,7/23/14,read
"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,3.94,HarperCollins,440,2010,7/23/14,to-read
"A Dance of Cloaks (Shadowdance, #1)",David Dalglish,3.74,CreateSpace Independent Publishing Platform,386,2010,7/23/14,to-read
"Finnikin of the Rock (Lumatere Chronicles, #1)",Melina Marchetta,3.91,Viking Australia,416,2008,7/23/14,to-read
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,4.03,Henry Holt and Company,358,2012,7/23/14,to-read
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,Hyperion Books,279,2006,7/21/14,read
"The Demon King (Seven Realms, #1)",Cinda Williams Chima,4.18,Hyperion Books,506,2009,7/22/14,to-read
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.24,Disney Hyperion Books,377,2006,12/30/12,read
"The Magicians (The Magicians, #1)",Lev Grossman,3.51,Viking,402,2009,12/30/12,read
Shaman,Kim Stanley Robinson,3.67,Orbit,456,2013,7/18/14,to-read
"The Wind Singer (Wind on Fire, #1)",William Nicholson,3.85,Disney-Hyperion,486,2002,7/18/14,to-read
Shadow of the Winter King,Erik Scott de Bie,3.45,Dragon Moon Press,318,2014,7/16/14,to-read
"Red Rising (Red Rising, #1)",Pierce Brown,4.27,Del Rey (Random House),382,2014,7/16/14,to-read
"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,4.09,Gallery / Saga Press,180,2001,7/15/14,to-read
"Eon: Dragoneye Reborn (Eon, #1)",Alison Goodman,3.97,Viking Books for Young Readers,531,2008,7/15/14,to-read
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,4.03,"Little, Brown Books for Young Readers",422,2011,5/10/14,read
100 Heartbeats: A Journey to Meet Our Planet's Endangered Animals and the Heroes Working to Save Them,Jeff Corwin,4.17,Rodale Books,336,2009,7/15/14,read
The Fault in Our Stars,John Green,4.23,Dutton Books,313,2012,7/19/13,read
Endless Forms Most Beautiful: The New Science of Evo Devo and the Making of the Animal Kingdom,Sean B. Carroll,4.06,W. W. Norton & Company,350,2006,2/16/14,read
Fangirl,Rainbow Rowell,4.08,St. Martin's Griffin,438,2013,7/15/14,to-read
Bitterblue,Kristin Cashore,4.01,Firebird,563,2013,7/15/14,to-read
"Dies the Fire (Emberverse, #1)",S.M. Stirling,3.93,Ace Books,573,2005,7/15/14,to-read
"A Host of Dragons (Dragon Delasangre, #4)",Alan F. Troop,4.06,Roc,352,2006,7/15/14,to-read
"The Seadragon's Daughter (Dragon Delasangre, #3)",Alan F. Troop,3.93,Roc,304,2004,7/15/14,to-read
"The Dragon Delasangre (Dragon Delasangre, #1)",Alan F. Troop,3.69,Roc,304,2002,7/15/14,to-read
"The Farthest Shore (Earthsea Cycle, #3)",Ursula K. Le Guin,4.13,Gallery Books,259,2004,7/15/14,to-read
"Tehanu (Earthsea Cycle, #4)",Ursula K. Le Guin,3.94,Pocket Books,281,2004,7/15/14,to-read
"Sandworms Of Dune (Dune Chronicles, #8)",Brian Herbert,3.63,Tor Science Fiction,560,2008,7/15/14,to-read
"Hunters Of Dune (Dune Chronicles, #7)",Brian Herbert,3.65,Tor Books,563,2007,7/15/14,to-read
"Mystic Quest (The Bronze Canticles, #2)",Tracy Hickman,3.51,Grand Central Publishing,608,2006,7/15/14,to-read
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,Ace Books,331,1987,7/15/14,to-read
Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,Ace Books,408,1987,7/15/14,to-read
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,Ace Books,471,1987,7/15/14,to-read
"The Pillars of Creation (Sword of Truth, #7)",Terry Goodkind,3.68,Tor Books,725,2002,7/15/14,to-read
"Faith of the Fallen (Sword of Truth, #6)",Terry Goodkind,4.11,Tor,785,2001,7/15/14,to-read
"Soul of the Fire (Sword of Truth, #5)",Terry Goodkind,3.87,Tor Books,788,2000,7/15/14,to-read
"Naked Empire (Sword of Truth, #8)",Terry Goodkind,3.82,Tor Books,736,2004,7/15/14,to-read
"Temple of the Winds (Sword of Truth, #4)",Terry Goodkind,4.03,Tor,822,1998,7/15/14,to-read
"Blood of the Fold (Sword of Truth, #3)",Terry Goodkind,3.99,Tor Books,623,1997,7/15/14,to-read
"Stone of Tears (Sword of Truth, #2)",Terry Goodkind,4.11,Tor ,979,1996,7/15/14,to-read
"Cold Magic (Spiritwalker, #1)",Kate Elliott,3.72,Orbit,502,2010,7/15/14,to-read
"Spirit Gate (Crossroads, #1)",Kate Elliott,3.58,Tor Books,718,2007,7/15/14,to-read
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,Penguin Books Ltd. (London),608,2005,7/15/14,to-read
"Nightshade (Nightshade, #1)",Andrea Cremer,4.03,Speak,454,2011,7/15/14,to-read
The Messiah Code,Michael Cordy,3.72,Avon,400,2004,7/15/14,to-read
"First Truth (Truth, #1)",Dawn Cook,3.73,Ace Books,336,2002,7/15/14,to-read
"The Outlanders (The Lon Tobyn Chronicle, #2)",David B. Coe,3.89,Tor Books,626,1999,7/15/14,to-read
"Eagle-Sage (The Lon Tobyn Chronicle, #3)",David B. Coe,3.89,Tor Books,626,2001,7/15/14,to-read
Children of Amarid (Lon Tobyn Chronicle #1),David B. Coe,3.9,Tor Books,591,1998,7/15/14,to-read
Paper Towns,John Green,3.83,Dutton Juvenile,305,2008,7/15/14,to-read
An Abundance of Katherines,John Green,3.59,Dutton Books for Young Readers,229,2006,7/15/14,to-read
"Fortress of Owls (Fortress, #3)",C.J. Cherryh,3.9,Harper Voyager,560,2000,7/15/14,to-read
"Fortress of Dragons (Fortress, #4)",C.J. Cherryh,3.93,Harper Voyager,576,2001,7/15/14,to-read
"Fortress of Eagles (Fortress, #2)",C.J. Cherryh,3.88,Harper Voyager,496,1998,7/15/14,to-read
"Fortress in the Eye of Time (Fortress, #1)",C.J. Cherryh,3.86,Harper Voyager,773,1996,7/15/14,to-read
"Always Forever (Age of Misrule, #3)",Mark Chadbourn,4.05,Pyr,466,2009,7/15/14,to-read
"Darkest Hour (Age of Misrule, #2)",Mark Chadbourn,3.95,Pyr,464,2009,7/15/14,to-read
"World's End (Age of Misrule, #1)",Mark Chadbourn,3.73,Pyr,413,2009,7/15/14,to-read
"Summer Knight (The Dresden Files, #4)",Jim Butcher,4.3,Roc,446,2002,7/15/14,to-read
"White Night (The Dresden Files, #9)",Jim Butcher,4.4,Roc,467,2008,7/15/14,to-read
"Dead Beat (The Dresden Files, #7)",Jim Butcher,4.43,Roc,517,2006,7/15/14,to-read
"Consider Phlebas (Culture, #1)",Iain M. Banks,3.86,Orbit,527,2008,7/15/14,to-read
The Iron Dragon's Daughter,Michael Swanwick,3.69,Avon Books,424,2012,7/15/14,to-read
"The Diviners (The Diviners, #1)",Libba Bray,3.97,"Little, Brown Books for Young Readers",578,2012,7/14/14,to-read
Zoo City,Lauren Beukes,3.64,Angry Robot,416,2010,7/14/14,to-read
"Of Poseidon (The Syrena Legacy, #1)",Anna Banks,4.03,Feiwel & Friends,324,2012,7/12/14,to-read
Looking for Alaska,John Green,4.05,Speak,221,2006,7/3/14,read
"The Assassin's Curse (The Assassin's Curse, #1)",Cassandra Rose Clarke,3.69,Strange Chemistry,298,2012,6/10/14,to-read
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",Benjamin Alire Sáenz,4.34,Simon & Schuster Books for Young Readers,359,2012,6/10/14,to-read
Eleanor & Park,Rainbow Rowell,4.08,St. Martin's Press,328,2013,6/1/14,read
"Joust (Dragon Jousters, #1)",Mercedes Lackey,4.02,DAW,448,2004,8/10/13,read
"Fool's Assassin (The Fitz and The Fool Trilogy, #1)",Robin Hobb,4.37,Harper Voyager,630,2014,6/1/14,to-read
"Thief's Magic (Millennium’s Rule, #1)",Trudi Canavan,3.85,Orbit,553,2014,6/1/14,to-read
"Shadows (The Rephaim, #1)",Paula Weston,3.97,Text Publishing,388,2012,5/25/14,to-read
"Angelfall (Penryn & the End of Days, #1)",Susan Ee,4.16,Hodder and Stoughton,326,2013,5/25/14,to-read
A Monster Calls,Patrick Ness,4.37,Walker,240,2012,5/22/14,to-read
The Night Circus,Erin Morgenstern,4.04,"Vintage Books, Random House",502,2012,5/22/14,to-read
"Saga, Vol. 1",Brian K. Vaughan,4.2,Image Comics,176,2012,5/22/14,to-read
Ancillary Justice (Imperial Radch #1),Ann Leckie,3.98,Orbit,386,2013,5/22/14,to-read
"The One (The Selection, #3)",Kiera Cass,4.2,HarperTeen,368,2014,5/21/14,read
"The Elite (The Selection, #2)",Kiera Cass,4.02,HarperTeen,336,2013,5/20/14,read
"The Quantum Thief (Jean le Flambeur, #1)",Hannu Rajaniemi,3.83,Gollancz,336,2010,5/20/14,to-read
"The Emperor's Blades (Chronicle of the Unhewn Throne, #1)",Brian Staveley,4.11,Tor Books,480,2014,5/20/14,to-read
"The Fractal Prince (Jean le Flambeur, #2)",Hannu Rajaniemi,4.05,Tor Books,320,2012,5/20/14,to-read
"Embrace (The Violet Eden Chapters, #1)",Jessica Shirvington,4,Hachette Australia,382,2010,5/20/14,to-read
"The Last Kingdom (The Saxon Stories, #1)",Bernard Cornwell,4.25,Harper Paperbacks,351,2006,5/20/14,to-read
"Foreigner (Foreigner, #1)",C.J. Cherryh,3.94,DAW,428,2004,5/20/14,to-read
"The Selection (The Selection, #1)",Kiera Cass,4.14,HarperTeen,336,2012,5/10/14,read
"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,3.97,Walker,479,2008,5/19/14,to-read
The Book of Lost Things,John Connolly,3.98,Atria Books,339,2006,5/19/14,to-read
"Seraphina (Seraphina, #1)",Rachel Hartman,3.96,Random House Books for Young Readers,499,2013,5/19/14,to-read
The Martian,Andy Weir,4.4,Crown,369,2014,5/4/14,read
Stolen: A Letter to My Captor,Lucy Christopher,3.92,Chicken House Ltd,304,2009,5/15/14,to-read
"Blood Song (Raven's Shadow, #1)",Anthony Ryan,4.44,Anthony  Ryan,591,2012,5/11/14,to-read
"Grave Mercy (His Fair Assassin, #1)",Robin LaFevers,3.9,Houghton Mifflin Harcourt,549,2012,5/10/14,to-read
"The Hundred Thousand Kingdoms (Inheritance, #1)",N.K. Jemisin,3.84,Hachette Book Group Orbit,427,2010,5/10/14,to-read
"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,4.2,Disney Hyperion,488,2012,5/10/14,to-read
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.22,Bloomsbury,404,2012,5/7/14,to-read
"New Amsterdam (New Amsterdam, #1)",Elizabeth Bear,3.55,Subterranean Press,272,2007,5/7/14,to-read
"Blood and Iron (Promethean Age, #1)",Elizabeth Bear,3.44,Ace Books,448,2006,5/7/14,to-read
"All the Windwracked Stars (The Edda of Burdens, #1)",Elizabeth Bear,3.64,Tor Books,368,2008,5/7/14,to-read
"Dust (Jacob's Ladder, #1)",Elizabeth Bear,3.65,Spectra,342,2008,5/7/14,to-read
"Range of Ghosts (Eternal Sky, #1)",Elizabeth Bear,3.7,Tor Books,334,2012,5/7/14,to-read
"Hammered (Jenny Casey, #1)",Elizabeth Bear,3.7,Spectra,352,2004,5/7/14,to-read
"The Stepsister Scheme (Princess, #1)",Jim C. Hines,3.75,DAW,344,2009,5/7/14,to-read
"Libriomancer (Magic Ex Libris, #1)",Jim C. Hines,3.81,DAW,308,2012,5/7/14,to-read
"Goblin Quest (Jig the Goblin, #1)",Jim C. Hines,4.01,DAW,346,2006,5/7/14,to-read
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.09,Harcourt,471,2008,7/19/13,read
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.56,Scholastic Inc.,652,2006,6/8/13,read
"Bastion (Valdemar: Collegium Chronicles, #5)",Mercedes Lackey,3.99,Daw Books,342,2013,11/16/13,read
"Prince of Fools (The Red Queen's War, #1)",Mark  Lawrence,4.07,Ace,355,2014,4/12/14,to-read
"Beyond the Shadows (Night Angel, #3)",Brent Weeks,4.28,Orbit,689,2008,4/11/14,to-read
"Shadow's Edge (Night Angel, #2)",Brent Weeks,4.27,Orbit,636,2008,4/11/14,to-read
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.54,Penguin Group DAW,662,2007,7/19/13,read
"The Hidden City (The House War, #1)",Michelle West,4.09,DAW,615,2008,4/11/14,to-read
"Blackbirds (Miriam Black, #1)",Chuck Wendig,3.76,Angry Robot,381,2012,4/4/14,to-read
A Clockwork Orange,Anthony Burgess,3.99,W. W. Norton & Company,213,1986,3/16/14,to-read
Lolita,Vladimir Nabokov,3.89,Penguin,331,1995,3/16/14,to-read
"Catch-22 (Catch-22, #1)",Joseph Heller,3.98,Simon & Schuster ,453,2004,3/16/14,to-read
Life of Pi,Yann Martel,3.9,Seal Books,460,2006,3/16/14,to-read
The Alchemist,Paulo Coelho,3.86,HarperCollins,197,1993,3/16/14,to-read
Of Mice and Men,John Steinbeck,3.86,Penguin Books,103,2002,3/16/14,read
"Night (The Night Trilogy, #1)",Elie Wiesel,4.32,Hill and Wang,115,2006,3/16/14,to-read
"The Giver (The Giver, #1)",Lois Lowry,4.13,Ember,208,2006,3/16/14,to-read
Lord of the Flies,William Golding,3.67,Penguin Books ,182,1999,3/16/14,to-read
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.26,HarperCollins,767,2002,3/16/14,to-read
The Little Prince,Antoine de Saint-Exupéry,4.3,"Harcourt, Inc.",93,2000,3/16/14,to-read
The Catcher in the Rye,J.D. Salinger,3.8,Back Bay Books,277,2001,3/16/14,to-read
Pride and Prejudice,Jane Austen,4.25,Modern Library,279,2000,3/16/14,to-read
The Road,Cormac McCarthy,3.96,Alfred A. Knopf,241,2006,3/12/14,to-read
"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,4.17,Vintage Books,337,1992,3/12/14,to-read
Moth and Spark,Anne  Leonard,3.2,Viking Adult,368,2014,3/12/14,to-read
"Do Androids Dream of Electric Sheep? (Blade Runner, #1)",Philip K. Dick,4.08,Del Rey / Ballantine Books,244,1996,2/3/14,read
Your Inner Fish: A Journey Into the 3.5-Billion-Year History of the Human Body,Neil Shubin,3.99,Pantheon Books,229,2008,2/16/14,to-read
The Red Queen: Sex and the Evolution of Human Nature,Matt Ridley,4.04,Harper Perennial (HarperCollins),405,2003,2/16/14,to-read
The God Delusion,Richard Dawkins,3.9,Houghton Mifflin Co. (Boston/NY),374,2006,2/16/14,to-read
Stiff: The Curious Lives of Human Cadavers,Mary Roach,4.06,W. W. Norton  Company,303,2004,2/16/14,to-read
The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,4.16,Bantam Press,470,2009,2/16/14,to-read
The Selfish Gene,Richard Dawkins,4.13,"Oxford University Press, USA",360,2006,2/16/14,to-read
"Sabriel (Abhorsen,  #1)",Garth Nix,4.17,Harper Collins,491,1996,2/10/14,to-read
"The Magicians' Guild (Black Magician Trilogy, #1)",Trudi Canavan,3.95,HarperCollins,384,2009,2/10/14,to-read
"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,4.3,Harper Trophy,329,2001,2/10/14,to-read
"The Fire Within (The Last Dragon Chronicles, #1)",Chris d'Lacey,3.78,Scholastic Inc.,340,2007,2/3/14,read
"Redoubt (Valdemar: Collegium Chronicles, #4)",Mercedes Lackey,3.95,DAW,330,2012,11/16/13,read
"Changes (Valdemar: Collegium Chronicles, #3)",Mercedes Lackey,3.95,DAW,326,2011,8/10/13,read
"Intrigues (Valdemar: Collegium Chronicles, #2)",Mercedes Lackey,3.96,DAW,328,2010,12/20/13,read
"Insurgent (Divergent, #2)",Veronica Roth,4.04,HarperCollins Children's Books,525,2012,8/10/13,read
The Book Thief,Markus Zusak,4.37,Alfred A. Knopf,552,2006,7/19/13,read
Black Blade Blues (Sarah Beauhall #1),J.A. Pitts,3.43,Tor Books,400,2010,6/22/13,read
"Dark Currents (Agent of Hel, #1)",Jacqueline Carey,3.79,Roc Hardcover,356,2012,12/5/13,to-read
I Am Legend,Richard Matheson,4.06,Millenium,160,1999,12/4/13,to-read
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.01,Anchor Books,389,2004,12/3/13,to-read
The Ocean at the End of the Lane,Neil Gaiman,4,William Morrow Books,181,2013,12/3/13,to-read
"Life After Life (Todd Family, #1)",Kate Atkinson,3.76,Reagan Arthur Books,531,2013,12/3/13,to-read
"The Constant Princess (The Plantagenet and Tudor Novels, #6)",Philippa Gregory,3.9,Washington Square Press,390,2006,11/30/13,to-read
Pandemonium,Warren Fahy,3.69,Tor Books,320,2013,11/29/13,to-read
Fragment,Warren Fahy,3.68,Delacorte Press,356,2009,11/29/13,to-read
The Invisible Man,H.G. Wells,3.64,Signet Classics,192,2002,11/19/13,to-read
"Ringworld (Ringworld, #1)",Larry Niven,3.96,Gollancz,288,2005,11/19/13,to-read
Slaughterhouse-Five,Kurt Vonnegut,4.07,Dial Press,275,1999,11/19/13,to-read
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,4,Yearling Books,211,1973,11/19/13,to-read
Brave New World,Aldous Huxley,3.98,HarperPerennial / Perennial Classics,288,1998,11/19/13,to-read
Fahrenheit 451,Ray Bradbury,3.98,DeBolsillo,175,2004,11/19/13,to-read
1984,George Orwell,4.17,New American Library,328,1950,11/19/13,to-read
"Dune (Dune Chronicles, #1)",Frank Herbert,4.22,Hodder & Stoughton,604,2006,11/19/13,to-read
