Reader,Title,Author,ISBN,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
Jen,1Q84,Haruki Murakami,0307593312,0,3.92,Knopf,925,2011,7/11/19,to-read,to-read (#413),to-read
Jen,Kafka on the Shore,Haruki Murakami,1400079276,0,4.13,Vintage International,467,2006,7/11/19,to-read,to-read (#412),to-read
Jen,His Dark Materials (His Dark Materials #1-3),Philip Pullman,0440238609,0,4.25,Laurel Leaf Library,1088,2003,7/11/19,to-read,to-read (#411),to-read
Jen,The Martian Chronicles,Ray Bradbury,0553278223,0,4.14,Bantam/Spectra,182,1984,7/11/19,to-read,to-read (#410),to-read
Jen,Johnny Got His Gun,Dalton Trumbo,0806512814,0,4.17,Citadel,309,2000,7/11/19,to-read,to-read (#409),to-read
Jen,"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov,0380508567,0,4.4,,679,1974,7/11/19,to-read,to-read (#408),to-read
Jen,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,0739467352,0,4.02,W.W. Norton & Company,425,2005,7/11/19,to-read,to-read (#407),to-read
Jen,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,,0,4.25,William Morrow,491,2006,7/11/19,to-read,to-read (#406),to-read
Jen,Cat's Cradle,Kurt Vonnegut,0140285601,0,4.17,Penguin,306,1999,7/11/19,to-read,to-read (#405),to-read
Jen,Speak,Laurie Halse Anderson,014131088X,0,4.02,Puffin,202,2001,7/11/19,to-read,to-read (#404),to-read
Jen,A Little Princess,Frances Hodgson Burnett,0142437018,0,4.2,Penguin Books,242,2002,7/11/19,to-read,to-read (#403),to-read
Jen,The World According to Garp,John Irving,0345915593,0,4.08,Ballantine Books,610,1999,7/11/19,to-read,to-read (#402),to-read
Jen,The Autobiography of Malcolm X,Malcolm X,,0,4.31,Ballantine Books,466,,7/11/19,to-read,to-read (#401),to-read
Jen,The Phantom Tollbooth,Norton Juster,0394820371,0,4.21,Random House Bullseye Books,256,1996,7/11/19,to-read,to-read (#400),to-read
Jen,Stranger in a Strange Land,Robert A. Heinlein,0441788386,0,3.92,Ace,528,1991,7/11/19,to-read,to-read (#399),to-read
Jen,The Glass Castle,Jeannette Walls,074324754X,0,4.26,Scribner,288,2006,7/11/19,to-read,to-read (#398),to-read
Jen,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,0143034901,0,4.26,Penguin Books,487,2005,7/11/19,to-read,to-read (#397),to-read
Jen,The Divine Comedy,Dante Alighieri,0679433139,0,4.07,Everyman's Library,798,1995,7/11/19,to-read,to-read (#396),to-read
Jen,A Prayer for Owen Meany,John Irving,0552135399,0,4.23,Black Swan,637,1990,7/11/19,to-read,to-read (#395),to-read
Jen,The Bell Jar,Sylvia Plath,,0,4,Harper Perennial Modern Classics,294,2006,7/11/19,to-read,to-read (#394),to-read
Jen,Man's Search for Meaning,Viktor E. Frankl,080701429X,0,4.36,Beacon Press,165,2006,7/11/19,to-read,to-read (#393),to-read
Jen,"Watership Down (Watership Down, #1)",Richard  Adams,038039586X,0,4.05,Avon Books,478,1975,7/11/19,to-read,to-read (#392),to-read
Jen,East of Eden,John Steinbeck,0142000655,0,4.37,Penguin Books,601,2002,7/11/19,to-read,to-read (#391),to-read
Jen,Sense and Sensibility,Jane Austen,,0,4.07,Penguin Books,409,2003,7/11/19,to-read,to-read (#390),to-read
Jen,The Perks of Being a Wallflower,Stephen Chbosky,,0,4.2,MTV Books/Pocket Books,213,1999,7/11/19,to-read,to-read (#389),to-read
Jen,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,0553279378,0,4.22,Bantam Books,289,1993,7/11/19,to-read,to-read (#388),to-read
Jen,All Quiet on the Western Front,Erich Maria Remarque,0449213943,0,3.96,Ballantine,296,1987,7/11/19,to-read,to-read (#387),to-read
Jen,A Tree Grows in Brooklyn,Betty  Smith,0061120073,0,4.26,HarperCollins Publishers,496,2006,7/11/19,to-read,to-read (#386),to-read
Jen,Siddhartha,Hermann Hesse,,0,4.01,Bantam Books,152,1981,7/11/19,to-read,to-read (#385),to-read
Jen,The Grapes of Wrath,John Steinbeck,067001690X,0,3.96,Viking,479,2014,7/11/19,to-read,to-read (#384),to-read
Jen,The Handmaid's Tale,Margaret Atwood,,0,4.1,Anchor Books,344,1998,7/11/19,to-read,to-read (#383),to-read
Jen,Frankenstein,Mary Wollstonecraft Shelley,,0,3.79,Penguin Classics,288,2018,7/11/19,,,read
Jen,One Hundred Years of Solitude,Gabriel García Márquez,0060531045,0,4.06,Harper,417,2003,7/11/19,to-read,to-read (#382),to-read
Jen,Crime and Punishment,Fyodor Dostoyevsky,0143058142,0,4.21,Penguin,671,2002,7/11/19,to-read,to-read (#381),to-read
Jen,Brave New World / Brave New World Revisited,Aldous Huxley,0060776099,0,4.16,Harper Perennial Modern Classics,340,2005,7/11/19,to-read,to-read (#380),to-read
Jen,The Picture of Dorian Gray,Oscar Wilde,0375751513,0,4.07,Random House: Modern Library,272,2004,7/11/19,to-read,to-read (#379),to-read
Jen,Little Women,Louisa May Alcott,0451529308,0,4.06,Signet Classics,449,2004,7/11/19,to-read,to-read (#378),to-read
Jen,Animal Farm,George Orwell,0452284244,0,3.92,NAL,122,2003,7/11/19,,,read
Jen,Jane Eyre,Charlotte Brontë,0142437204,0,4.12,Penguin,532,2003,7/11/19,to-read,to-read (#377),to-read
Jen,The Great Gatsby,F. Scott Fitzgerald,,0,3.91,Scribner,180,2004,7/11/19,,,read
Jen,"To Kill a Mockingbird (To Kill a Mockingbird, #1)",Harper Lee,,0,4.27,Harper Perennial Modern Classics,324,2006,7/11/19,,,read
Jen,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,1591846358,0,4.14,Portfolio,201,2014,7/11/19,to-read,to-read (#376),to-read
Jen,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,1501144316,0,4.47,Scribner,368,2017,7/11/19,to-read,to-read (#375),to-read
Jen,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,,0,4.32,Avery,319,2018,7/11/19,to-read,to-read (#374),to-read
Jen,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,0671015206,0,4.02,Gallery Books,258,1998,7/11/19,to-read,to-read (#373),to-read
Jen,The Millionaire Mind,Thomas J. Stanley,0740718584,0,4.18,Andrews McMeel Publishing,416,2001,7/11/19,to-read,to-read (#372),to-read
Jen,Ego Is the Enemy,Ryan Holiday,1591847818,0,4.14,Portfolio,226,2016,7/11/19,to-read,to-read (#371),to-read
Jen,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,1400069289,0,4.08,Random House,375,2012,7/11/19,to-read,to-read (#370),to-read
Jen,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield,0446691437,0,4.01,Warner Books,168,2003,7/11/19,to-read,to-read (#369),to-read
Jen,The Art of War,Sun Tzu,1590302257,0,3.97,Shambhala,273,2005,7/11/19,to-read,to-read (#368),to-read
Jen,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,0446563048,0,3.98,Grand Central Publishing,246,2010,7/11/19,to-read,to-read (#367),to-read
Jen,The Mastery of Love: A Practical Guide to the Art of Relationship --Toltec Wisdom Book,Miguel Ruiz,1878424440,0,4.27,Amber-Allen Publishing,240,2002,7/11/19,to-read,to-read (#366),to-read
Jen,Originals: How Non-Conformists Move the World,Adam M. Grant,0525429565,0,3.97,Viking,326,2016,7/11/19,to-read,to-read (#365),to-read
Jen,Autobiography of a Yogi,Paramahansa Yogananda,0876120834,0,4.23,Self-Realization Fellowship Publishers,448,1994,7/11/19,to-read,to-read (#364),to-read
Jen,The 4-Hour Workweek,Timothy Ferriss,0307353133,0,3.87,Harmony Books,308,2007,7/11/19,to-read,to-read (#363),to-read
Jen,The Magic of Thinking Big,David J. Schwartz,0671646788,0,4.23,Touchstone,320,1987,7/11/19,to-read,to-read (#362),to-read
Jen,"Silver Borne (Mercy Thompson, #5)",Patricia Briggs,044101819X,5,4.38,Ace Books,342,2010,2/22/17,,,read
Jen,"Moon Called (Mercy Thompson, #1)",Patricia Briggs,0441013813,5,4.17,Ace Books,289,2006,2/22/17,,,read
Jen,"Bone Crossed (Mercy Thompson, #4)",Patricia Briggs,,4,4.34,Ace,303,2009,2/22/17,,,read
Jen,"Iron Kissed (Mercy Thompson, #3)",Patricia Briggs,0441015662,4,4.37,Ace Books,287,2008,2/22/17,,,read
Jen,"Blood Bound (Mercy Thompson, #2)",Patricia Briggs,0441014739,5,4.31,Ace,292,2007,2/22/17,,,read
Jen,"River Marked (Mercy Thompson, #6)",Patricia Briggs,1841497975,0,4.28,Orbit,326,2011,2/22/17,currently-reading,currently-reading (#1),currently-reading
Jen,"The Autumn Republic (Powder Mage, #3)",Brian  McClellan,0316219126,5,4.37,Orbit,580,2015,8/3/16,,,read
Jen,"The Crimson Campaign (Powder Mage, #2)",Brian  McClellan,0356502023,5,4.36,Orbit,596,2014,8/1/16,,,read
Jen,"Promise of Blood (Powder Mage, #1)",Brian  McClellan,0316219037,4,4.15,Orbit,545,2013,11/4/13,,,read
Jen,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,0345522478,0,4.11,Del Rey,304,2011,4/17/14,to-read,to-read (#361),to-read
Jen,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,055357342X,0,4.54,Bantam,1177,2003,8/9/15,to-read,to-read (#360),to-read
Jen,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,,0,4.39,Hyperion Books for Children,361,2008,10/4/14,to-read,to-read (#359),to-read
Jen,"Allegiant (Divergent, #3)",Veronica Roth,006202406X,5,3.63,Katherine Tegen Books,526,2013,12/20/13,,,read
Jen,"Emperor of Thorns (The Broken Empire, #3)",Mark  Lawrence,0007439067,0,4.26,Harper Voyager,592,2013,7/29/13,to-read,to-read (#4),to-read
Jen,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,0553381695,4,4.41,Bantam,784,2002,6/10/15,,,read
Jen,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,0553588486,5,4.45,Bantam,835,2005,12/30/12,,,read
Jen,"If I Stay (If I Stay, #1)",Gayle Forman,014241543X,4,3.95,Speak,261,2010,7/15/14,,,read
Jen,"The Ruby Circle (Bloodlines, #6)",Richelle Mead,159514322X,4,4.23,Razorbill,348,2015,2/24/15,,,read
Jen,"Silver Shadows (Bloodlines, #5)",Richelle Mead,1595143211,5,4.36,Razorbill,380,2014,1/4/15,,,read
Jen,"The Fiery Heart (Bloodlines, #4)",Richelle Mead,1595143203,5,4.37,Penguin Group,420,2013,1/2/15,,,read
Jen,"The Indigo Spell (Bloodlines, #3)",Richelle Mead,159514319X,5,4.39,Razorbill / Penguin Group,401,2013,1/2/15,,,read
Jen,"The Golden Lily (Bloodlines, #2)",Richelle Mead,1595143181,5,4.35,Penguin Group,418,2012,1/2/15,,,read
Jen,"Bloodlines (Bloodlines, #1)",Richelle Mead,1595143173,4,4.21,Penguin Group,421,2011,12/29/14,,,read
Jen,"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,1595143068,5,4.4,Razorbill,594,2010,9/21/14,,,read
Jen,"Lock In (Lock In, #1)",John Scalzi,0765375869,0,3.88,Tor Books,336,2014,10/1/14,to-read,to-read (#358),to-read
Jen,"City of Stairs (The Divine Cities, #1)",Robert Jackson Bennett,080413717X,0,4.11,Broadway Books,452,2014,9/21/14,to-read,to-read (#357),to-read
Jen,"Spirit Bound (Vampire Academy, #5)",Richelle Mead,1595142509,5,4.36,Penguin Razorbill,489,2010,9/13/14,,,read
Jen,"Blood Promise (Vampire Academy, #4)",Richelle Mead,1595141987,5,4.34,Penguin Razorbill,503,2009,9/5/14,,,read
Jen,"World of Fire (Dev Harmer Mission, #1)",James Lovegrove,,4,3.67,Rebellion,324,2014,7/28/14,,,read
Jen,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,1595141979,5,4.36,Razorbill,443,2008,8/30/14,,,read
Jen,"Feast of Souls (The Magister Trilogy, #1)",C.S. Friedman,0756404320,0,3.89,DAW,464,2007,8/30/14,to-read,to-read (#356),to-read
Jen,"Black Sun Rising (The Coldfire Trilogy, #1)",C.S. Friedman,0756403146,0,3.93,Daw Books,496,2005,8/30/14,to-read,to-read (#355),to-read
Jen,"Frostbite (Vampire Academy, #2)",Richelle Mead,,4,4.29,Razorbill,327,2008,8/29/14,,,read
Jen,"The Fire Prince (The Cursed Kingdoms, #2)",Emily Gee,1781082405,4,3.97,Solaris,559,2014,8/20/14,,,read
Jen,"World of Fire (Dev Harmer Mission, #1)",James Lovegrove,1781082073,4,3.67,Solaris,464,2014,8/25/14,,,read
Jen,"Fire Logic (Elemental Logic, #1)",Laurie J. Marks,081256653X,0,3.85,Tor Books,359,2004,8/23/14,to-read,to-read (#354),to-read
Jen,The Lost Years of Merlin,T.A. Barron,0441010288,0,3.98,Ace,304,2002,8/23/14,to-read,to-read (#353),to-read
Jen,"Key Holder of the Realms (Tales of the Whosawhachits, #1)",Patricia O'Grady,1452025045,0,4.34,Authorhouse,260,2010,8/23/14,to-read,to-read (#352),to-read
Jen,"Running with the Demon (Word & Void, #1)",Terry Brooks,0345379624,0,3.96,Del Rey Books,420,1997,8/23/14,to-read,to-read (#351),to-read
Jen,"The Merchant of Death (Pendragon, #1)",D.J. MacHale,0743437314,0,3.94,Aladdin Paperbacks,375,2002,8/23/14,to-read,to-read (#350),to-read
Jen,"Phoenix Angel (Shardwell, #1)",Amanda Gerry,0615589499,0,4.17,"Scribes of Shardwell, LLC",329,2012,8/23/14,to-read,to-read (#349),to-read
Jen,"Gifts (Annals of the Western Shore, #1)",Ursula K. Le Guin,0152051244,0,3.69,Harcourt,286,2006,8/23/14,to-read,to-read (#348),to-read
Jen,"Empire in Black and Gold (Shadows of the Apt, #1)",Adrian Tchaikovsky,0230704131,0,3.65,TOR,612,2008,8/23/14,to-read,to-read (#347),to-read
Jen,"Falling Kingdoms (Falling Kingdoms, #1)",Morgan Rhodes,1595145842,0,3.81,Razorbill,412,2012,8/23/14,to-read,to-read (#346),to-read
Jen,"Tome of the Undergates (Aeons' Gate, #1)",Sam Sykes,0575090286,0,3.36,Victor Gollancz Science Fiction,612,2010,8/23/14,to-read,to-read (#345),to-read
Jen,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,,5,4.13,Razorbill,332,2013,8/13/14,,,read
Jen,"Among Thieves (Tales of the Kin, #1)",Douglas Hulick,0451463900,0,3.94,Roc,414,2011,8/22/14,to-read,to-read (#344),to-read
Jen,"The Sentinel Mage (The Cursed Kingdoms, #1)",Emily Gee,1907519505,4,3.74,Solaris,509,2011,7/14/14,,,read
Jen,"Blood and Feathers (Blood and Feathers, #1)",Lou Morgan,1781080194,0,3.54,Solaris,384,2012,8/19/14,to-read,to-read (#343),to-read
Jen,"Greatshadow (Dragon Apocalypse, #1)",James Maxey,1907992723,0,3.84,Solaris,416,2012,8/19/14,to-read,to-read (#342),to-read
Jen,"Besieged (The Outcast Chronicles, #1)",Rowena Cory Daniells,1781080119,0,3.83,Solaris,672,2012,8/19/14,to-read,to-read (#341),to-read
Jen,"The King's Bastard (King Rolen's Kin, #1)",Rowena Cory Daniells,1907519017,0,3.63,Solaris,640,2010,8/19/14,to-read,to-read (#340),to-read
Jen,"Irons in the Fire (The Chronicles of the Lescari Revolution, #1)",Juliet E. McKenna,1844166201,0,3.45,Solaris,512,2009,8/19/14,to-read,to-read (#339),to-read
Jen,"Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",Margaret Weis,0786915749,0,3.99,Wizards of the Coast,444,2000,8/15/14,to-read,to-read (#338),to-read
Jen,"The Earthsea Quartet (Earthsea Cycle, #1-4)",Ursula K. Le Guin,0140154272,0,4.26,Penguin,691,1993,8/15/14,to-read,to-read (#337),to-read
Jen,"Pawn of Prophecy (The Belgariad, #1)",David Eddings,0345468643,0,4.15,Del Rey,304,2004,8/15/14,to-read,to-read (#336),to-read
Jen,"Blue Moon Rising (Forest Kingdom, #1)",Simon R. Green,0451460553,0,4.09,Ace Books,476,2005,8/15/14,to-read,to-read (#335),to-read
Jen,"Something from the Nightside (Nightside, #1)",Simon R. Green,0441010652,0,3.77,Ace Books,230,2003,8/15/14,to-read,to-read (#334),to-read
Jen,"Daughter of the Empire (The Empire Trilogy, #1)",Raymond E. Feist,055327211X,0,4.27,Spectra,421,1988,8/15/14,to-read,to-read (#333),to-read
Jen,"The Darkness That Comes Before (The Prince of Nothing, #1)",R. Scott Bakker,1585676772,0,3.79,Harry N. Abrams,608,2005,8/15/14,to-read,to-read (#332),to-read
Jen,Deryni Rising (The Chronicles of the Deryni #1),Katherine Kurtz,034525290X,0,3.95,Ballantine Books,271,1976,8/15/14,to-read,to-read (#331),to-read
Jen,"The White Queen (The Plantagenet and Tudor Novels, #2)",Philippa Gregory,1416563687,0,3.92,Atria Books,408,2009,8/15/14,to-read,to-read (#330),to-read
Jen,"Acacia: The War with the Mein (Acacia, #1)",David Anthony Durham,0385506066,0,3.57,Doubleday,576,2007,8/15/14,to-read,to-read (#329),to-read
Jen,"The Archived (The Archived, #1)",Victoria Schwab,1423157311,0,4.01,Hyperion,327,2013,8/13/14,to-read,to-read (#328),to-read
Jen,"The Girl of Fire and Thorns (Fire and Thorns, #1)",Rae Carson,0062026488,0,3.8,Greenwillow,423,2011,8/13/14,to-read,to-read (#327),to-read
Jen,"The Crystal Cave (Arthurian Saga, #1)",Mary  Stewart,0060548258,0,4.13,Eos,494,2003,8/13/14,to-read,to-read (#326),to-read
Jen,"The Blue Blazes (Mookie Pearl, #1)",Chuck Wendig,0857663356,0,3.86,Angry Robot,397,2013,8/7/14,to-read,to-read (#325),to-read
Jen,"Starcrossed (Starcrossed, #1)",Josephine Angelini,0062011995,0,4.07,HarperTeen,487,2011,8/7/14,to-read,to-read (#324),to-read
Jen,The House of Mirth,Edith Wharton,1844082938,0,3.95,Virago,351,2006,8/7/14,to-read,to-read (#323),to-read
Jen,The Stranger,Albert Camus,,0,3.97,Vintage International,123,1989,8/7/14,to-read,to-read (#322),to-read
Jen,The Brief Wondrous Life of Oscar Wao,Junot Díaz,1594489580,0,3.9,Riverhead Books,335,2007,8/7/14,to-read,to-read (#321),to-read
Jen,"Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman,1563892278,0,4.25,Vertigo,233,1998,8/7/14,to-read,to-read (#320),to-read
Jen,The Last Lecture,Randy Pausch,1401323251,0,4.26,Hachette Books,206,2008,8/7/14,to-read,to-read (#319),to-read
Jen,Outliers: The Story of Success,Malcolm Gladwell,0316017922,0,4.14,"Little, Brown and Company",309,2008,8/7/14,to-read,to-read (#318),to-read
Jen,A Short History of Nearly Everything,Bill Bryson,076790818X,0,4.2,Broadway Books,544,2004,8/7/14,to-read,to-read (#317),to-read
Jen,"In the Hand of the Goddess (Song of the Lioness, #2)",Tamora Pierce,0689878567,4,4.24,Simon Pulse,264,2005,8/7/14,,,read
Jen,"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,0689878559,5,4.26,Simon Pulse,274,2005,7/16/14,,,read
Jen,"Ready Player One (Ready Player One, #1)",Ernest Cline,030788743X,5,4.27,Crown Publishers,374,2011,6/1/14,,,read
Jen,"Who Fears Death (Who Fears Death, #1)",Nnedi Okorafor,075640617X,0,3.96,DAW Hardcover,386,2010,7/27/14,to-read,to-read (#316),to-read
Jen,"Throne of the Crescent Moon (The Crescent Moon Kingdoms, #1)",Saladin Ahmed,0756407117,0,3.64,DAW,274,2012,7/27/14,to-read,to-read (#315),to-read
Jen,"The Killing Moon (Dreamblood, #1)",N.K. Jemisin,0356500764,0,3.9,Hachette Book Group,418,2012,7/27/14,to-read,to-read (#314),to-read
Jen,"The Rook (The Checquy Files, #1)",Daniel O'Malley,0316098795,0,4.12,"Little, Brown and Company",496,2012,7/26/14,to-read,to-read (#313),to-read
Jen,"Fool's Errand (Tawny Man, #1)",Robin Hobb,0006486010,0,4.31,Voyager,661,2002,7/26/14,to-read,to-read (#312),to-read
Jen,"Ship of Magic (Liveship Traders, #1)",Robin Hobb,000649885X,0,4.14,Voyager,880,1999,7/26/14,to-read,to-read (#311),to-read
Jen,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,0141382899,5,4.35,Puffin Books,320,2007,7/23/14,,,read
Jen,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,0061969559,0,3.94,HarperCollins,440,2010,7/23/14,to-read,to-read (#310),to-read
Jen,"A Dance of Cloaks (Shadowdance, #1)",David Dalglish,1453706011,0,3.74,CreateSpace Independent Publishing Platform,386,2010,7/23/14,to-read,to-read (#309),to-read
Jen,"Finnikin of the Rock (Lumatere Chronicles, #1)",Melina Marchetta,0670072818,0,3.91,Viking Australia,416,2008,7/23/14,to-read,to-read (#308),to-read
Jen,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,,0,4.03,Henry Holt and Company,358,2012,7/23/14,to-read,to-read (#307),to-read
Jen,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,0786856866,4,4.24,Hyperion Books,279,2006,7/21/14,,,read
Jen,"The Demon King (Seven Realms, #1)",Cinda Williams Chima,1423118235,0,4.18,Hyperion Books,506,2009,7/22/14,to-read,to-read (#306),to-read
Jen,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,0786838655,4,4.24,Disney Hyperion Books,377,2006,12/30/12,,,read
Jen,"The Magicians (The Magicians, #1)",Lev Grossman,0670020559,5,3.51,Viking,402,2009,12/30/12,,,read
Jen,Shaman,Kim Stanley Robinson,0316098078,0,3.67,Orbit,456,2013,7/18/14,to-read,to-read (#305),to-read
Jen,"The Wind Singer (Wind on Fire, #1)",William Nicholson,0786814179,0,3.85,Disney-Hyperion,486,2002,7/18/14,to-read,to-read (#304),to-read
Jen,Shadow of the Winter King,Erik Scott de Bie,1897492774,0,3.45,Dragon Moon Press,318,2014,7/16/14,to-read,to-read (#303),to-read
Jen,"Red Rising (Red Rising, #1)",Pierce Brown,0345539788,0,4.27,Del Rey (Random House),382,2014,7/16/14,to-read,to-read (#302),to-read
Jen,"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,0689845367,0,4.09,Gallery / Saga Press,180,2001,7/15/14,to-read,to-read (#301),to-read
Jen,"Eon: Dragoneye Reborn (Eon, #1)",Alison Goodman,0670062278,0,3.97,Viking Books for Young Readers,531,2008,7/15/14,to-read,to-read (#300),to-read
Jen,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,0316134023,5,4.03,"Little, Brown Books for Young Readers",422,2011,5/10/14,,,read
Jen,100 Heartbeats: A Journey to Meet Our Planet's Endangered Animals and the Heroes Working to Save Them,Jeff Corwin,1605298476,5,4.17,Rodale Books,336,2009,7/15/14,,,read
Jen,The Fault in Our Stars,John Green,,4,4.23,Dutton Books,313,2012,7/19/13,,,read
Jen,Endless Forms Most Beautiful: The New Science of Evo Devo and the Making of the Animal Kingdom,Sean B. Carroll,0393327795,4,4.06,W. W. Norton & Company,350,2006,2/16/14,,,read
Jen,Fangirl,Rainbow Rowell,1250030951,0,4.08,St. Martin's Griffin,438,2013,7/15/14,to-read,to-read (#299),to-read
Jen,Bitterblue,Kristin Cashore,0142426016,0,4.01,Firebird,563,2013,7/15/14,to-read,to-read (#298),to-read
Jen,"Dies the Fire (Emberverse, #1)",S.M. Stirling,0451460413,0,3.93,Ace Books,573,2005,7/15/14,to-read,to-read (#297),to-read
Jen,"A Host of Dragons (Dragon Delasangre, #4)",Alan F. Troop,0451460618,0,4.06,Roc,352,2006,7/15/14,to-read,to-read (#296),to-read
Jen,"The Seadragon's Daughter (Dragon Delasangre, #3)",Alan F. Troop,0451460073,0,3.93,Roc,304,2004,7/15/14,to-read,to-read (#295),to-read
Jen,"The Dragon Delasangre (Dragon Delasangre, #1)",Alan F. Troop,0451458710,0,3.69,Roc,304,2002,7/15/14,to-read,to-read (#294),to-read
Jen,"The Farthest Shore (Earthsea Cycle, #3)",Ursula K. Le Guin,141650964X,0,4.13,Gallery Books,259,2004,7/15/14,to-read,to-read (#293),to-read
Jen,"Tehanu (Earthsea Cycle, #4)",Ursula K. Le Guin,1416509631,0,3.94,Pocket Books,281,2004,7/15/14,to-read,to-read (#292),to-read
Jen,"Sandworms Of Dune (Dune Chronicles, #8)",Brian Herbert,0765351498,0,3.63,Tor Science Fiction,560,2008,7/15/14,to-read,to-read (#291),to-read
Jen,"Hunters Of Dune (Dune Chronicles, #7)",Brian Herbert,076535148X,0,3.65,Tor Books,563,2007,7/15/14,to-read,to-read (#290),to-read
Jen,"Mystic Quest (The Bronze Canticles, #2)",Tracy Hickman,0446612235,0,3.51,Grand Central Publishing,608,2006,7/15/14,to-read,to-read (#289),to-read
Jen,Dune Messiah (Dune Chronicles #2),Frank Herbert,0441172695,0,3.88,Ace Books,331,1987,7/15/14,to-read,to-read (#288),to-read
Jen,Children of Dune (Dune Chronicles #3),Frank Herbert,,0,3.92,Ace Books,408,1987,7/15/14,to-read,to-read (#287),to-read
Jen,Heretics of Dune (Dune Chronicles #5),Frank Herbert,0441328008,0,3.86,Ace Books,471,1987,7/15/14,to-read,to-read (#286),to-read
Jen,"The Pillars of Creation (Sword of Truth, #7)",Terry Goodkind,0765340747,0,3.68,Tor Books,725,2002,7/15/14,to-read,to-read (#285),to-read
Jen,"Faith of the Fallen (Sword of Truth, #6)",Terry Goodkind,081257639X,0,4.11,Tor,785,2001,7/15/14,to-read,to-read (#284),to-read
Jen,"Soul of the Fire (Sword of Truth, #5)",Terry Goodkind,0812551494,0,3.87,Tor Books,788,2000,7/15/14,to-read,to-read (#283),to-read
Jen,"Naked Empire (Sword of Truth, #8)",Terry Goodkind,0765344300,0,3.82,Tor Books,736,2004,7/15/14,to-read,to-read (#282),to-read
Jen,"Temple of the Winds (Sword of Truth, #4)",Terry Goodkind,0812551486,0,4.03,Tor,822,1998,7/15/14,to-read,to-read (#281),to-read
Jen,"Blood of the Fold (Sword of Truth, #3)",Terry Goodkind,0812551478,0,3.99,Tor Books,623,1997,7/15/14,to-read,to-read (#280),to-read
Jen,"Stone of Tears (Sword of Truth, #2)",Terry Goodkind,0812548094,0,4.11,Tor ,979,1996,7/15/14,to-read,to-read (#279),to-read
